state,year,population
Ohio,1986,10730268
North Dakota,1986,669512
North Carolina,1986,6321578
New York,1986,17833419
New Mexico,1986,1462729
New Jersey,1986,7622159
New Hampshire,1986,1025053
Nevada,1986,980613
Nebraska,1986,1574333
Montana,1986,813739
Missouri,1986,5023068
Mississippi,1986,2593597
Minnesota,1986,4205212
Michigan,1986,9127775
Massachusetts,1986,5902678
Maryland,1986,4486957
Maine,1986,1170126
Louisiana,1986,4406919
Kentucky,1986,3687809
Kansas,1986,2432619
Iowa,1986,2791970
Indiana,1986,5454108
Illinois,1986,11387257
Idaho,1986,990224
Hawaii,1986,1051762
Georgia,1986,6084666
Florida,1986,11667505
District of Columbia,1986,638269
Delaware,1986,627559
Connecticut,1986,3223740
Colorado,1986,3237450
California,1986,27102237
Arkansas,1986,2331984
Arizona,1986,3308262
Alabama,1986,3991569
Wyoming,1985,499695
Wisconsin,1985,4747767
West Virginia,1985,1906831
Washington,1985,4400098
Virginia,1985,5715153
Vermont,1985,530035
Utah,1985,1642910
Texas,1985,16272734
Tennessee,1985,4715296
South Dakota,1985,698402
South Carolina,1985,3303209
Rhode Island,1985,968955
Pennsylvania,1985,11770862
Oregon,1985,2672652
Oklahoma,1985,3271332
Ohio,1985,10734926
North Dakota,1985,676980
North Carolina,1985,6253954
New York,1985,17791672
New Mexico,1985,1438361
New Jersey,1985,7565528
New Hampshire,1985,996753
Nevada,1985,951030
Nebraska,1985,1584664
Montana,1985,822320
Missouri,1985,5000268
Mississippi,1985,2588102
Minnesota,1985,4184301
Michigan,1985,9076293
Massachusetts,1985,5880733
Maryland,1985,4413071
Maine,1985,1162936
Louisiana,1985,4408118
Kentucky,1985,3694826
Kansas,1985,2427405
Iowa,1985,2829684
Indiana,1985,5459211
Illinois,1985,11399806
Idaho,1985,994051
Hawaii,1985,1039698
Georgia,1985,5962661
Florida,1985,11351118
District of Columbia,1985,634549
Delaware,1985,618280
Connecticut,1985,3201131
Colorado,1985,3208723
California,1985,26441109
Arkansas,1985,2327046
Arizona,1985,3183538
Alabama,1985,3972523
Wyoming,1984,504896
Wisconsin,1984,4735563
West Virginia,1984,1927697
Washington,1984,4343656
Virginia,1984,5643870
Vermont,1984,526660
Utah,1984,1622342
Texas,1984,16007086
Tennessee,1984,4686737
South Dakota,1984,697249
South Carolina,1984,3271868
Rhode Island,1984,961894
Pennsylvania,1984,11815172
Oregon,1984,2666588
Oklahoma,1984,3285533
Ohio,1984,10737746
North Dakota,1984,680497
North Carolina,1984,6164006
New York,1984,17745684
New Mexico,1984,1416717
New Jersey,1984,7515473
New Hampshire,1984,976864
Nevada,1984,924922
Nebraska,1984,1588639
Montana,1984,820905
Missouri,1984,4975278
Mississippi,1984,2578051
Minnesota,1984,4157706
Michigan,1984,9049452
Massachusetts,1984,5840773
Maryland,1984,4365243
Maine,1984,1155635
Louisiana,1984,4400477
Kentucky,1984,3695453
Kansas,1984,2424086
Iowa,1984,2858618
Indiana,1984,5458322
Illinois,1984,11412132
Idaho,1984,990839
Hawaii,1984,1027922
Georgia,1984,5834954
Florida,1984,11039925
District of Columbia,1984,633382
Delaware,1984,611565
Connecticut,1984,3180014
Colorado,1984,3169992
California,1984,25844393
Arkansas,1984,2319768
Arizona,1984,3067135
Alabama,1984,3951820
Wyoming,1983,510345
Wisconsin,1983,4721438
West Virginia,1983,1945061
Washington,1983,4300266
Virginia,1983,5564657
Vermont,1983,523302
Utah,1983,1594943
Texas,1983,15751676
Tennessee,1983,4659749
South Dakota,1983,693008
South Carolina,1983,3234066
Rhode Island,1983,956382
Pennsylvania,1983,11837723
Oregon,1983,2653066
Oklahoma,1983,3290402
Ohio,1983,10737632
North Dakota,1983,676688
North Carolina,1983,6077056
New York,1983,17686905
New Mexico,1983,1394361
New Jersey,1983,7467785
New Hampshire,1983,958134
Nevada,1983,901977
Nebraska,1983,1584293
Montana,1983,814031
Missouri,1983,4943733
Mississippi,1983,2567717
Minnesota,1983,4141456
Michigan,1983,9047754
Massachusetts,1983,5799407
Maryland,1983,4313327
Maine,1983,1144772
Louisiana,1983,4395316
Kentucky,1983,3694484
Kansas,1983,2415531
Iowa,1983,2870543
Indiana,1983,5450395
Illinois,1983,11408818
Idaho,1983,981869
Hawaii,1983,1012717
Georgia,1983,5728250
Florida,1983,10749851
District of Columbia,1983,632433
Delaware,1983,605458
Connecticut,1983,3162354
Colorado,1983,3133630
California,1983,25360026
Arkansas,1983,2305761
Arizona,1983,2968925
Alabama,1983,3934102
Wyoming,1982,506400
Wisconsin,1982,4728870
West Virginia,1982,1949604
Washington,1982,4276552
Virginia,1982,5492783
Vermont,1982,519109
Utah,1982,1558314
Texas,1982,15331415
Tennessee,1982,4646041
South Dakota,1982,690597
South Carolina,1982,3207614
Rhode Island,1982,954170
Pennsylvania,1982,11845146
Oregon,1982,2664922
Oklahoma,1982,3206123
Ohio,1982,10757087
North Dakota,1982,668972
North Carolina,1982,6019101
New York,1982,17589738
New Mexico,1982,1363823
New Jersey,1982,7430968
New Hampshire,1982,947719
Nevada,1982,881537
Nebraska,1982,1581780
Montana,1982,803986
Missouri,1982,4929451
Mississippi,1982,2556777
Minnesota,1982,4131450
Michigan,1982,9115198
Massachusetts,1982,5771222
Maryland,1982,4282923
Maine,1982,1136684
Louisiana,1982,4352608
Kentucky,1982,3683445
Kansas,1982,2401202
Iowa,1982,2888189
Indiana,1982,5467922
Illinois,1982,11423412
Idaho,1982,973721
Hawaii,1982,993780
Georgia,1982,5649792
Florida,1982,10471407
District of Columbia,1982,634174
Delaware,1982,599148
Connecticut,1982,3139013
Colorado,1982,3061564
California,1982,24820009
Arkansas,1982,2294257
Arizona,1982,2889861
Alabama,1982,3925266
Wyoming,1981,491712
Wisconsin,1981,4726343
West Virginia,1981,1954124
Washington,1981,4235731
Virginia,1981,5444097
Vermont,1981,515594
Utah,1981,1515471
Texas,1981,14746318
Tennessee,1981,4627658
South Dakota,1981,689584
South Carolina,1981,3179255
Rhode Island,1981,953013
Pennsylvania,1981,11858567
Oregon,1981,2667982
Oklahoma,1981,3096164
Ohio,1981,10788330
North Dakota,1981,659505
North Carolina,1981,5956653
New York,1981,17567734
New Mexico,1981,1332748
New Jersey,1981,7407472
New Hampshire,1981,936621
Nevada,1981,847655
Nebraska,1981,1578515
Montana,1981,795328
Missouri,1981,4932064
Mississippi,1981,2539036
Minnesota,1981,4111728
Michigan,1981,9209287
Massachusetts,1981,5768685
Maryland,1981,4261905
Maine,1981,1133033
Louisiana,1981,4283303
Kentucky,1981,3670394
Kansas,1981,2384849
Iowa,1981,2907983
Indiana,1981,5480435
Illinois,1981,11443458
Idaho,1981,962204
Hawaii,1981,978195
Georgia,1981,5568345
Florida,1981,10192774
District of Columbia,1981,636893
Delaware,1981,595975
Connecticut,1981,3128836
Colorado,1981,2977898
California,1981,24285933
Arkansas,1981,2293201
Arizona,1981,2810107
Alabama,1981,3918531
Wyoming,1980,474185
Wisconsin,1980,4712045
West Virginia,1980,1951349
Washington,1980,4154678
Virginia,1980,5368334
Vermont,1980,512524
Utah,1980,1472595
Texas,1980,14338208
Tennessee,1980,4600252
South Dakota,1980,690851
South Carolina,1980,3134502
Rhode Island,1980,948773
Pennsylvania,1980,11868305
Oregon,1980,2641218
Oklahoma,1980,3040758
Ohio,1980,10800650
North Dakota,1980,654380
North Carolina,1980,5898980
New York,1980,17566754
New Mexico,1980,1309400
New Jersey,1980,7376330
New Hampshire,1980,924250
Nevada,1980,810215
Nebraska,1980,1572296
Montana,1980,788752
Missouri,1980,4921966
Mississippi,1980,2525342
Minnesota,1980,4085017
Michigan,1980,9255553
Massachusetts,1980,5746075
Maryland,1980,4227643
Maine,1980,1126860
Louisiana,1980,4223101
Kentucky,1980,3664221
Kansas,1980,2369039
Iowa,1980,2914018
Indiana,1980,5490721
Illinois,1980,11434702
Idaho,1980,947983
Hawaii,1980,967710
Georgia,1980,5486174
Florida,1980,9839835
District of Columbia,1980,638284
Delaware,1980,594919
Connecticut,1980,3113174
Colorado,1980,2908803
California,1980,23800800
Arkansas,1980,2288738
Arizona,1980,2737774
Alabama,1980,3900368
Wyoming,1979,454378
Wisconsin,1979,4682811
West Virginia,1979,1942146
Washington,1979,4017632
Virginia,1979,5307945
Vermont,1979,505372
Utah,1979,1420238
Texas,1979,13888371
Tennessee,1979,4560473
South Dakota,1979,688335
South Carolina,1979,3090267
Rhode Island,1979,950382
Pennsylvania,1979,11887975
Oregon,1979,2588012
Oklahoma,1979,2975310
Ohio,1979,10798298
North Dakota,1979,652896
North Carolina,1979,5823491
New York,1979,17583838
New Mexico,1979,1284722
New Jersey,1979,7366512
New Hampshire,1979,909074
Nevada,1979,765367
Nebraska,1979,1567344
Montana,1979,787305
Missouri,1979,4912430
Mississippi,1979,2507069
Minnesota,1979,4050316
Michigan,1979,9266268
Massachusetts,1979,5738404
Maryland,1979,4191160
Maine,1979,1122563
Louisiana,1979,4137665
Kentucky,1979,3641804
Kansas,1979,2350906
Iowa,1979,2915739
Indiana,1979,5501174
Illinois,1979,11396837
Idaho,1979,932627
Hawaii,1979,953306
Georgia,1979,5401384
Florida,1979,9426159
District of Columbia,1979,650016
Delaware,1979,594984
Connecticut,1979,3095917
Colorado,1979,2849234
California,1979,23256880
Arkansas,1979,2271333
Arizona,1979,2635571
Alabama,1979,3866248
Wyoming,1978,432880
Wisconsin,1978,4646108
West Virginia,1978,1923395
Washington,1978,3889073
Virginia,1978,5270240
Vermont,1978,498109
Utah,1978,1367510
Texas,1978,13500429
Tennessee,1978,4486314
South Dakota,1978,688580
South Carolina,1978,3044364
Rhode Island,1978,951816
Pennsylvania,1978,11879396
Oregon,1978,2518298
Oklahoma,1978,2917336
Ohio,1978,10795581
North Dakota,1978,651301
North Carolina,1978,5759492
New York,1978,17680589
New Mexico,1978,1238034
New Jersey,1978,7350804
New Hampshire,1978,891520
Nevada,1978,719436
Nebraska,1978,1563884
Montana,1978,782317
Missouri,1978,4889399
Mississippi,1978,2487816
Minnesota,1978,4015341
Michigan,1978,9217761
Massachusetts,1978,5736469
Maryland,1978,4183603
Maine,1978,1113566
Louisiana,1978,4068579
Kentucky,1978,3609976
Kansas,1978,2335657
Iowa,1978,2918069
Indiana,1978,5470214
Illinois,1978,11412561
Idaho,1978,910690
Hawaii,1978,931584
Georgia,1978,5295751
Florida,1978,9102032
District of Columbia,1978,665052
Delaware,1978,594776
Connecticut,1978,3091627
Colorado,1978,2766748
California,1978,22835958
Arkansas,1978,2243127
Arizona,1978,2515316
Alabama,1978,3831836
Wyoming,1977,413354
Wisconsin,1977,4626514
West Virginia,1977,1908088
Washington,1977,3776050
Virginia,1977,5193112
Vermont,1977,491931
Utah,1977,1319512
Texas,1977,13193050
Tennessee,1977,4422921
South Dakota,1977,688480
South Carolina,1977,2991681
Rhode Island,1977,950230
Pennsylvania,1977,11893591
Oregon,1977,2446673
Oklahoma,1977,2870014
Ohio,1977,10771394
North Dakota,1977,649769
North Carolina,1977,5685607
New York,1977,17812602
New Mexico,1977,1215720
New Jersey,1977,7337169
New Hampshire,1977,869763
Nevada,1977,678333
Nebraska,1977,1556842
Montana,1977,769953
Missouri,1977,4863173
Mississippi,1977,2459201
Minnesota,1977,3989364
Michigan,1977,9171110
Massachusetts,1977,5738199
Maryland,1977,4169595
Maine,1977,1103578
Louisiana,1977,4014459
Kentucky,1977,3573693
Kansas,1977,2320647
Iowa,1977,2913573
Indiana,1977,5425638
Illinois,1977,11386316
Idaho,1977,883469
Hawaii,1977,918259
Georgia,1977,5219697
Florida,1977,8856183
District of Columbia,1977,677228
Delaware,1977,591829
Connecticut,1977,3085722
Colorado,1977,2696140
California,1977,22352396
Arkansas,1977,2209010
Arizona,1977,2425197
Alabama,1977,3780403
Wyoming,1976,396952
Wisconsin,1976,4595904
West Virginia,1976,1879503
Washington,1976,3693610
Virginia,1976,5121863
Vermont,1976,484928
Utah,1976,1274928
Texas,1976,12904089
Tennessee,1976,4346928
South Dakota,1976,686390
South Carolina,1976,2943657
Rhode Island,1976,946089
Pennsylvania,1976,11897378
Oregon,1976,2378262
Oklahoma,1976,2826815
Ohio,1976,10752662
North Dakota,1976,645797
North Carolina,1976,5607964
New York,1976,17940541
New Mexico,1976,1189295
New Jersey,1976,7339745
New Hampshire,1976,845248
Nevada,1976,646975
Nebraska,1976,1550911
Montana,1976,757317
Missouri,1976,4839029
Mississippi,1976,2429756
Minnesota,1976,3964680
Michigan,1976,9129205
Massachusetts,1976,5743672
Maryland,1976,4150538
Maine,1976,1088412
Louisiana,1976,3950605
Kentucky,1976,3529257
Kansas,1976,2301001
Iowa,1976,2903082
Indiana,1976,5389088
Illinois,1976,11342853
Idaho,1976,856983
Hawaii,1976,904191
Georgia,1976,5132812
Florida,1976,8667379
District of Columbia,1976,692295
Delaware,1976,590166
Connecticut,1976,3083335
Colorado,1976,2632306
California,1976,21935909
Arkansas,1976,2170161
Arizona,1976,2346157
Alabama,1976,3735139
Wyoming,1975,381695
Wisconsin,1975,4578986
West Virginia,1975,1842250
Washington,1975,3621339
Virginia,1975,5047395
Vermont,1975,479713
Utah,1975,1236030
Texas,1975,12568843
Tennessee,1975,4275566
South Dakota,1975,681042
South Carolina,1975,2902028
Rhode Island,1975,942788
Pennsylvania,1975,11906095
Oregon,1975,2329661
Oklahoma,1975,2774683
Ohio,1975,10770425
North Dakota,1975,638886
North Carolina,1975,5547188
New York,1975,18003485
New Mexico,1975,1159944
New Jersey,1975,7337765
New Hampshire,1975,828555
Nevada,1975,619972
Nebraska,1975,1543117
Montana,1975,748208
Missouri,1975,4808308
Mississippi,1975,2399449
Minnesota,1975,3932515
Michigan,1975,9117668
Massachusetts,1975,5757756
Maryland,1975,4139095
Maine,1975,1071995
Louisiana,1975,3886104
Kentucky,1975,3467769
Kansas,1975,2280578
Iowa,1975,2880847
Indiana,1975,5365766
Illinois,1975,11291743
Idaho,1975,831982
Hawaii,1975,886160
Georgia,1975,5064075
Florida,1975,8518422
District of Columbia,1975,706871
Delaware,1975,586589
Connecticut,1975,3082500
Colorado,1975,2586192
California,1975,21537849
Arkansas,1975,2159526
Arizona,1975,2284847
Alabama,1975,3678814
Wyoming,1974,365501
Wisconsin,1974,4545782
West Virginia,1974,1815447
Washington,1974,3549946
Virginia,1974,4971069
Vermont,1974,473002
Utah,1974,1200471
Texas,1974,12268629
Tennessee,1974,4213509
South Dakota,1974,679585
South Carolina,1974,2844749
Rhode Island,1974,950615
Pennsylvania,1974,11870884
Oregon,1974,2285013
Oklahoma,1974,2734768
Ohio,1974,10765759
North Dakota,1974,634559
North Carolina,1974,5470911
New York,1974,18049775
New Mexico,1974,1131309
New Jersey,1974,7332411
New Hampshire,1974,815914
Nevada,1974,596822
Nebraska,1974,1539191
Montana,1974,736419
Missouri,1974,4795930
Mississippi,1974,2378268
Minnesota,1974,3903925
Michigan,1974,9117507
Massachusetts,1974,5773548
Maryland,1974,4118814
Maine,1974,1059040
Louisiana,1974,3820109
Kentucky,1974,3416315
Kansas,1974,2269499
Iowa,1974,2867530
Indiana,1974,5361890
Illinois,1974,11262145
Idaho,1974,807990
Hawaii,1974,867978
Georgia,1974,4999419
Florida,1974,8298762
District of Columbia,1974,717947
Delaware,1974,581418
Connecticut,1974,3074047
Colorado,1974,2541406
California,1974,21173865
Arkansas,1974,2101403
Arizona,1974,2223196
Alabama,1974,3626499
Wyoming,1973,354061
Wisconsin,1973,4524244
West Virginia,1973,1806360
Washington,1973,3478782
Virginia,1973,4901292
Vermont,1973,468430
Utah,1973,1170040
Texas,1973,12019543
Tennessee,1973,4147401
South Dakota,1973,678715
South Carolina,1973,2776605
Rhode Island,1973,975738
Pennsylvania,1973,11890527
Oregon,1973,2241932
Oklahoma,1973,2695931
Ohio,1973,10767314
North Dakota,1973,632675
North Carolina,1973,5389852
New York,1973,18177063
New Mexico,1973,1105529
New Jersey,1973,7333083
New Hampshire,1973,800951
Nevada,1973,568991
Nebraska,1973,1529567
Montana,1973,726798
Missouri,1973,4782645
Mississippi,1973,2349546
Minnesota,1973,3889332
Michigan,1973,9077956
Massachusetts,1973,5781172
Maryland,1973,4097974
Maine,1973,1045655
Louisiana,1973,3788375
Kentucky,1973,3371024
Kansas,1973,2265603
Iowa,1973,2863715
Indiana,1973,5338277
Illinois,1973,11251367
Idaho,1973,782074
Hawaii,1973,851595
Georgia,1973,4910374
Florida,1973,7913696
District of Columbia,1973,731488
Delaware,1973,577759
Connecticut,1973,3067814
Colorado,1973,2495868
California,1973,20868728
Arkansas,1973,2059255
Arizona,1973,2124438
Alabama,1973,3579780
Wyoming,1972,347345
Wisconsin,1972,4502412
West Virginia,1972,1797648
Washington,1972,3447885
Virginia,1972,4824472
Vermont,1972,463143
Utah,1972,1135449
Texas,1972,11759148
Tennessee,1972,4094611
South Dakota,1972,677234
South Carolina,1972,2719197
Rhode Island,1972,974790
Pennsylvania,1972,11908233
Oregon,1972,2197297
Oklahoma,1972,2658646
Ohio,1972,10746993
North Dakota,1972,631119
North Carolina,1972,5301150
New York,1972,18339400
New Mexico,1972,1078697
New Jersey,1972,7335042
New Hampshire,1972,781107
Nevada,1972,546789
Nebraska,1972,1519013
Montana,1972,718732
Missouri,1972,4758780
Mississippi,1972,2307117
Minnesota,1972,3869747
Michigan,1972,9028944
Massachusetts,1972,5760302
Maryland,1972,4073499
Maine,1972,1034291
Louisiana,1972,3761646
Kentucky,1972,3335728
Kansas,1972,2256375
Iowa,1972,2860287
Indiana,1972,5302435
Illinois,1972,11251948
Idaho,1972,763237
Hawaii,1972,828331
Georgia,1972,4809490
Florida,1972,7511463
District of Columbia,1972,742241
Delaware,1972,572913
Connecticut,1972,3068699
Colorado,1972,2404619
California,1972,20585469
Arkansas,1972,2018638
Arizona,1972,2008291
Alabama,1972,3539400
Wyoming,1971,340285
Wisconsin,1971,4462155
West Virginia,1971,1770657
Washington,1971,3447553
Virginia,1971,4750838
Vermont,1971,454318
Utah,1971,1101192
Texas,1971,11509848
Tennessee,1971,4013608
South Dakota,1971,671297
South Carolina,1971,2662269
Rhode Island,1971,963107
Pennsylvania,1971,11886400
Oregon,1971,2151022
Oklahoma,1971,2618601
Ohio,1971,10734818
North Dakota,1971,626760
North Carolina,1971,5203531
New York,1971,18357982
New Mexico,1971,1053737
New Jersey,1971,7281107
New Hampshire,1971,761851
Nevada,1971,520018
Nebraska,1971,1504604
Montana,1971,710814
Missouri,1971,4725764
Mississippi,1971,2265432
Minnesota,1971,3853486
Michigan,1971,8974186
Massachusetts,1971,5737580
Maryland,1971,4018324
Maine,1971,1015390
Louisiana,1971,3710487
Kentucky,1971,3298053
Kansas,1971,2246600
Iowa,1971,2851705
Indiana,1971,5253396
Illinois,1971,11202397
Idaho,1971,738753
Hawaii,1971,801644
Georgia,1971,4711550
Florida,1971,7158304
District of Columbia,1971,749781
Delaware,1971,564708
Connecticut,1971,3060938
Colorado,1971,2303524
California,1971,20345939
Arkansas,1971,1972312
Arizona,1971,1895814
Alabama,1971,3497076
Wyoming,1970,332416
Wisconsin,1970,4417821
West Virginia,1970,1744237
Washington,1970,3413244
Virginia,1970,4651448
Vermont,1970,444732
Utah,1970,1059273
Texas,1970,11198655
Tennessee,1970,3926018
South Dakota,1970,666257
South Carolina,1970,2590713
Rhode Island,1970,949723
Pennsylvania,1970,11800766
Oregon,1970,2091533
Oklahoma,1970,2559463
Ohio,1970,10657423
North Dakota,1970,617792
North Carolina,1970,5084411
New York,1970,18241391
New Mexico,1970,1017055
New Jersey,1970,7171112
New Hampshire,1970,737681
Nevada,1970,488738
Nebraska,1970,1485333
Montana,1970,694409
Missouri,1970,4677623
Mississippi,1970,2216994
Minnesota,1970,3806103
Michigan,1970,8881826
Massachusetts,1970,5689170
Maryland,1970,3923897
Maine,1970,993722
Louisiana,1970,3644637
Kentucky,1970,3220711
Kansas,1970,2249071
Iowa,1970,2825368
Indiana,1970,5195392
Illinois,1970,11110285
Idaho,1970,713015
Hawaii,1970,769913
Georgia,1970,4587930
Florida,1970,6791418
District of Columbia,1970,756668
Delaware,1970,548104
Connecticut,1970,3032217
Colorado,1970,2209596
California,1970,19971069
Arkansas,1970,1923322
Arizona,1970,1775399
Alabama,1970,3444354
Wyoming,1969,329000
Wisconsin,1969,4378000
West Virginia,1969,1746000
Washington,1969,3343000
Virginia,1969,4614000
Vermont,1969,437000
Utah,1969,1047000
Texas,1969,11045000
Tennessee,1969,3897000
South Dakota,1969,668000
South Carolina,1969,2570000
Rhode Island,1969,932000
Pennsylvania,1969,11741000
Oregon,1969,2062000
Oklahoma,1969,2535000
Ohio,1969,10563000
North Dakota,1969,621000
North Carolina,1969,5031000
New York,1969,18105000
New Mexico,1969,1011000
New Jersey,1969,7095000
New Hampshire,1969,724000
Nevada,1969,480000
Nebraska,1969,1474000
Montana,1969,694000
Missouri,1969,4640000
Mississippi,1969,2220000
Minnesota,1969,3758000
Michigan,1969,8781000
Massachusetts,1969,5650000
Maryland,1969,3868000
Maine,1969,992000
Louisiana,1969,3619000
Kentucky,1969,3198000
Kansas,1969,2236000
Iowa,1969,2805000
Indiana,1969,5143000
Illinois,1969,11039000
Idaho,1969,707000
Hawaii,1969,750000
Georgia,1969,4551000
Florida,1969,6641000
District of Columbia,1969,762000
Delaware,1969,540000
Connecticut,1969,3000000
Colorado,1969,2166000
California,1969,19711000
Arkansas,1969,1913000
Arizona,1969,1737000
Alabama,1969,3440000
Wyoming,1968,324000
Wisconsin,1968,4345000
West Virginia,1968,1763000
Washington,1968,3270000
Virginia,1968,4558000
Vermont,1968,430000
Utah,1968,1029000
Texas,1968,10819000
Tennessee,1968,3878000
South Dakota,1968,669000
South Carolina,1968,2559000
Rhode Island,1968,922000
Pennsylvania,1968,11741000
Oregon,1968,2004000
Oklahoma,1968,2503000
Ohio,1968,10516000
North Dakota,1968,621000
North Carolina,1968,5004000
New York,1968,18051000
New Mexico,1968,994000
New Jersey,1968,7005000
New Hampshire,1968,709000
Nevada,1968,464000
Nebraska,1968,1467000
Montana,1968,700000
Missouri,1968,4568000
Mississippi,1968,2219000
Minnesota,1968,3703000
Michigan,1968,8696000
Massachusetts,1968,5618000
Maryland,1968,3815000
Maine,1968,994000
Louisiana,1968,3603000
Kentucky,1968,3195000
Kansas,1968,2216000
Iowa,1968,2803000
Indiana,1968,5093000
Illinois,1968,10995000
Idaho,1968,695000
Hawaii,1968,734000
Georgia,1968,4482000
Florida,1968,6433000
District of Columbia,1968,778000
Delaware,1968,534000
Connecticut,1968,2964000
Colorado,1968,2120000
California,1968,19394000
Arkansas,1968,1902000
Arizona,1968,1682000
Alabama,1968,3446000
Wyoming,1967,322000
Wisconsin,1967,4303000
West Virginia,1967,1769000
Washington,1967,3174000
Virginia,1967,4508000
Vermont,1967,423000
Utah,1967,1019000
Texas,1967,10599000
Tennessee,1967,3859000
South Dakota,1967,671000
South Carolina,1967,2533000
Rhode Island,1967,909000
Pennsylvania,1967,11681000
Oregon,1967,1979000
Oklahoma,1967,2489000
Ohio,1967,10414000
North Dakota,1967,626000
North Carolina,1967,4952000
New York,1967,17935000
New Mexico,1967,1000000
New Jersey,1967,6928000
New Hampshire,1967,697000
Nevada,1967,449000
Nebraska,1967,1457000
Montana,1967,701000
Missouri,1967,4539000
Mississippi,1967,2228000
Minnesota,1967,3659000
Michigan,1967,8630000
Massachusetts,1967,5594000
Maryland,1967,3757000
Maine,1967,1004000
Louisiana,1967,3581000
Kentucky,1967,3172000
Kansas,1967,2197000
Iowa,1967,2793000
Indiana,1967,5053000
Illinois,1967,10947000
Idaho,1967,688000
Hawaii,1967,723000
Georgia,1967,4408000
Florida,1967,6242000
District of Columbia,1967,791000
Delaware,1967,525000
Connecticut,1967,2935000
Colorado,1967,2053000
California,1967,19176000
Arkansas,1967,1901000
Arizona,1967,1646000
Alabama,1967,3458000
Wyoming,1966,323000
Wisconsin,1966,4274000
West Virginia,1966,1775000
Washington,1966,3057000
Virginia,1966,4456000
Vermont,1966,413000
Utah,1966,1009000
Texas,1966,10492000
Tennessee,1966,3822000
South Dakota,1966,683000
South Carolina,1966,2520000
Rhode Island,1966,899000
Pennsylvania,1966,11664000
Oregon,1966,1969000
Oklahoma,1966,2454000
Ohio,1966,10330000
North Dakota,1966,647000
North Carolina,1966,4896000
New York,1966,17843000
New Mexico,1966,1007000
New Jersey,1966,6851000
New Hampshire,1966,681000
Nevada,1966,446000
Nebraska,1966,1456000
Montana,1966,707000
Missouri,1966,4523000
Mississippi,1966,2245000
Minnesota,1966,3617000
Michigan,1966,8512000
Massachusetts,1966,5535000
Maryland,1966,3695000
Maine,1966,999000
Louisiana,1966,3550000
Kentucky,1966,3147000
Kansas,1966,2200000
Iowa,1966,2762000
Indiana,1966,4999000
Illinois,1966,10836000
Idaho,1966,689000
Hawaii,1966,710000
Georgia,1966,4379000
Florida,1966,6104000
District of Columbia,1966,791000
Delaware,1966,516000
Connecticut,1966,2903000
Colorado,1966,2007000
California,1966,18858000
Arkansas,1966,1899000
Arizona,1966,1614000
Alabama,1966,3464000
Wyoming,1965,332000
Wisconsin,1965,4232000
West Virginia,1965,1786000
Washington,1965,2967000
Virginia,1965,4411000
Vermont,1965,404000
Utah,1965,994000
Texas,1965,10378000
Tennessee,1965,3798000
South Dakota,1965,692000
South Carolina,1965,2494000
Rhode Island,1965,893000
Pennsylvania,1965,11620000
Oregon,1965,1937000
Oklahoma,1965,2440000
Ohio,1965,10201000
North Dakota,1965,649000
North Carolina,1965,4863000
New York,1965,17734000
New Mexico,1965,1012000
New Jersey,1965,6767000
New Hampshire,1965,676000
Nevada,1965,444000
Nebraska,1965,1471000
Montana,1965,706000
Missouri,1965,4467000
Mississippi,1965,2246000
Minnesota,1965,3592000
Michigan,1965,8357000
Massachusetts,1965,5502000
Maryland,1965,3600000
Maine,1965,997000
Louisiana,1965,3496000
Kentucky,1965,3140000
Kansas,1965,2206000
Iowa,1965,2742000
Indiana,1965,4922000
Illinois,1965,10693000
Idaho,1965,686000
Hawaii,1965,704000
Georgia,1965,4332000
Florida,1965,5954000
District of Columbia,1965,797000
Delaware,1965,507000
Connecticut,1965,2857000
Colorado,1965,1985000
California,1965,18585000
Arkansas,1965,1894000
Arizona,1965,1584000
Alabama,1965,3443000
Wyoming,1964,339000
Wisconsin,1964,4165000
West Virginia,1964,1797000
Washington,1964,2961000
Virginia,1964,4357000
Vermont,1964,399000
Utah,1964,978000
Texas,1964,10270000
Tennessee,1964,3771000
South Dakota,1964,701000
South Carolina,1964,2475000
Rhode Island,1964,885000
Pennsylvania,1964,11519000
Oregon,1964,1888000
Oklahoma,1964,2446000
Ohio,1964,10080000
North Dakota,1964,649000
North Carolina,1964,4802000
New York,1964,17589000
New Mexico,1964,1006000
New Jersey,1964,6660000
New Hampshire,1964,663000
Nevada,1964,426000
Nebraska,1964,1482000
Montana,1964,706000
Missouri,1964,4442000
Mississippi,1964,2241000
Minnesota,1964,3558000
Michigan,1964,8187000
Massachusetts,1964,5448000
Maryland,1964,3492000
Maine,1964,993000
Louisiana,1964,3446000
Kentucky,1964,3129000
Kansas,1964,2209000
Iowa,1964,2746000
Indiana,1964,4856000
Illinois,1964,10580000
Idaho,1964,680000
Hawaii,1964,700000
Georgia,1964,4258000
Florida,1964,5781000
District of Columbia,1964,798000
Delaware,1964,497000
Connecticut,1964,2798000
Colorado,1964,1970000
California,1964,18151000
Arkansas,1964,1897000
Arizona,1964,1556000
Alabama,1964,3395000
Wyoming,1963,336000
Wisconsin,1963,4112000
West Virginia,1963,1796000
Washington,1963,2955000
Virginia,1963,4276000
Vermont,1963,397000
Utah,1963,974000
Texas,1963,10159000
Tennessee,1963,3718000
South Dakota,1963,708000
South Carolina,1963,2460000
Rhode Island,1963,876000
Pennsylvania,1963,11424000
Oregon,1963,1853000
